name,exp_id,run_id,Accuracy,AbsLoss,SignedLoss,A_Value_Variance,A_Value_Ex,A_Value_Smooth,DDPG_Version,buffer.m,env.U_2,ddpg.tau_decay,env.b,env.mu,env.sigma,general_settings.max_episodes,ddpg.noise_scale,env.dt
More Multiple Env and Tau ,1,00f94521609c4d5da76639a1f6bbb0d0,0.96446329,0.017005967,-0.017005967,7.31438E-05,0.478546462,0.461540495,ShockBuffer,8,np.log,linear,8.127427832,0.455049694,0.975140869,10000,1,0.2
More Multiple Env and Tau ,1,01b94cda07774593b67db062692825b0,0.906304423,0.053947103,0.053947103,0.00011253,0.575770004,0.629717107,DDPG,8,np.log,none,4.014634612,0.28475816,0.703256202,10000,1,0.2
More Multiple Env and Tau ,1,0219d447f4d7479587a9a61970134afa,0.985890485,0.019474092,-0.019474092,7.75219E-05,1.380209928,1.360735835,ShockBuffer,8,np.log,linear,-0.920993036,0.375250341,0.521420347,10000,1,0.2
More Multiple Env and Tau ,1,064eeb615c5c4192b2abc979a5b6ddbe,0.827873003,0.061200481,-0.061200481,5.39318E-05,0.355554226,0.294353744,ShockBuffer,8,np.log,linear,-0.169283381,0.049222764,0.372074645,10000,1,0.2
More Multiple Env and Tau ,1,0804381fc70c41ee90f1766c30404a4b,0.975711968,0.037227001,0.037227001,0.000887573,1.532730241,1.569957242,ShockBuffer,8,np.log,linear,-0.680905212,0.26605024,0.416628489,10000,1,0.2
More Multiple Env and Tau ,1,0ba23a4de4cc423485230181adeded99,0.836804814,0.009589372,-0.009589372,0.000500507,0.058760141,0.049170769,DDPG,8,np.log,linear,0.809664973,0.049917934,0.921694264,10000,1,0.2
More Multiple Env and Tau ,1,0c1b808b634c43c691c95d846f429205,0.844791703,0.126928228,0.126928228,0.020706275,0.817792799,0.944721026,ShockBuffer,8,np.log,none,-0.921095999,0.454081876,0.745152981,10000,1,0.2
More Multiple Env and Tau ,1,14a9a554fc3d4b6d9fe5aab730936161,0.966982428,0.019791084,-0.019791084,0.004808341,0.59941064,0.579619555,ShockBuffer,8,np.log,none,3.354254679,0.043029077,0.267928424,10000,1,0.2
More Multiple Env and Tau ,1,15f54442dfac4f0a86675a6ff8603fd7,0.994178118,0.00240516,0.00240516,1.80311E-05,0.413124248,0.415529409,ShockBuffer,8,np.log,linear,1.633073326,0.364106461,0.938801662,10000,1,0.2
More Multiple Env and Tau ,1,170a8e0881db430eb6a04e3d1f203738,0.983438936,0.012772418,0.012772418,0.000524826,0.77123173,0.784004148,ShockBuffer,8,np.log,linear,1.828278282,0.22867689,0.544526091,10000,1,0.2
